power [kw],Time
142.5,2020 01 01 00:00:00
172.5,2020 01 01 01:00:00
142.5,2020 01 01 02:00:00
172.5,2020 01 01 03:00:00
142.5,2020 01 01 04:00:00
172.5,2020 01 01 05:00:00
142.5,2020 01 01 06:00:00
172.5,2020 01 01 07:00:00
409.7,2020 01 01 08:00:00
492.3,2020 01 01 09:00:00
620.0,2020 01 01 10:00:00
648.4,2020 01 01 11:00:00
456.9,2020 01 01 12:00:00
486.1,2020 01 01 13:00:00
615.3,2020 01 01 14:00:00
645.3,2020 01 01 15:00:00
466.1,2020 01 01 16:00:00
441.9,2020 01 01 17:00:00
411.9,2020 01 01 18:00:00
442.7,2020 01 01 19:00:00
412.7,2020 01 01 20:00:00
443.4,2020 01 01 21:00:00
414.2,2020 01 01 22:00:00
445.0,2020 01 01 23:00:00
142.5,2020 01 02 00:00:00
172.5,2020 01 02 01:00:00
142.5,2020 01 02 02:00:00
172.5,2020 01 02 03:00:00
142.5,2020 01 02 04:00:00
172.5,2020 01 02 05:00:00
142.5,2020 01 02 06:00:00
172.5,2020 01 02 07:00:00
403.4,2020 01 02 08:00:00
485.3,2020 01 02 09:00:00
613.8,2020 01 02 10:00:00
643.0,2020 01 02 11:00:00
452.2,2020 01 02 12:00:00
481.4,2020 01 02 13:00:00
612.2,2020 01 02 14:00:00
643.0,2020 01 02 15:00:00
464.5,2020 01 02 16:00:00
440.3,2020 01 02 17:00:00
411.1,2020 01 02 18:00:00
441.9,2020 01 02 19:00:00
412.7,2020 01 02 20:00:00
444.2,2020 01 02 21:00:00
414.2,2020 01 02 22:00:00
446.6,2020 01 02 23:00:00
142.5,2020 01 03 00:00:00
172.5,2020 01 03 01:00:00
142.5,2020 01 03 02:00:00
172.5,2020 01 03 03:00:00
142.5,2020 01 03 04:00:00
172.5,2020 01 03 05:00:00
142.5,2020 01 03 06:00:00
172.5,2020 01 03 07:00:00
132.5,2020 01 03 08:00:00
162.5,2020 01 03 09:00:00
137.5,2020 01 03 10:00:00
167.5,2020 01 03 11:00:00
132.5,2020 01 03 12:00:00
162.5,2020 01 03 13:00:00
137.5,2020 01 03 14:00:00
167.5,2020 01 03 15:00:00
142.5,2020 01 03 16:00:00
172.5,2020 01 03 17:00:00
142.5,2020 01 03 18:00:00
172.5,2020 01 03 19:00:00
142.5,2020 01 03 20:00:00
172.5,2020 01 03 21:00:00
142.5,2020 01 03 22:00:00
172.5,2020 01 03 23:00:00
142.5,2020 01 04 00:00:00
172.5,2020 01 04 01:00:00
148.9,2020 01 04 02:00:00
172.5,2020 01 04 03:00:00
142.5,2020 01 04 04:00:00
179.1,2020 01 04 05:00:00
149.2,2020 01 04 06:00:00
179.4,2020 01 04 07:00:00
139.5,2020 01 04 08:00:00
169.5,2020 01 04 09:00:00
145.0,2020 01 04 10:00:00
175.0,2020 01 04 11:00:00
144.5,2020 01 04 12:00:00
174.7,2020 01 04 13:00:00
149.7,2020 01 04 14:00:00
180.2,2020 01 04 15:00:00
155.2,2020 01 04 16:00:00
185.2,2020 01 04 17:00:00
155.2,2020 01 04 18:00:00
185.0,2020 01 04 19:00:00
155.2,2020 01 04 20:00:00
180.2,2020 01 04 21:00:00
150.0,2020 01 04 22:00:00
179.4,2020 01 04 23:00:00
142.5,2020 01 05 00:00:00
172.5,2020 01 05 01:00:00
142.5,2020 01 05 02:00:00
172.5,2020 01 05 03:00:00
142.5,2020 01 05 04:00:00
172.5,2020 01 05 05:00:00
142.5,2020 01 05 06:00:00
172.5,2020 01 05 07:00:00
401.1,2020 01 05 08:00:00
486.1,2020 01 05 09:00:00
616.9,2020 01 05 10:00:00
646.1,2020 01 05 11:00:00
458.4,2020 01 05 12:00:00
486.1,2020 01 05 13:00:00
617.7,2020 01 05 14:00:00
650.0,2020 01 05 15:00:00
471.6,2020 01 05 16:00:00
447.3,2020 01 05 17:00:00
418.1,2020 01 05 18:00:00
450.5,2020 01 05 19:00:00
421.3,2020 01 05 20:00:00
452.8,2020 01 05 21:00:00
423.6,2020 01 05 22:00:00
455.2,2020 01 05 23:00:00
142.5,2020 01 06 00:00:00
172.5,2020 01 06 01:00:00
142.5,2020 01 06 02:00:00
172.5,2020 01 06 03:00:00
142.5,2020 01 06 04:00:00
172.5,2020 01 06 05:00:00
142.5,2020 01 06 06:00:00
172.5,2020 01 06 07:00:00
416.7,2020 01 06 08:00:00
501.7,2020 01 06 09:00:00
631.7,2020 01 06 10:00:00
660.9,2020 01 06 11:00:00
470.9,2020 01 06 12:00:00
499.4,2020 01 06 13:00:00
629.4,2020 01 06 14:00:00
659.4,2020 01 06 15:00:00
480.2,2020 01 06 16:00:00
455.9,2020 01 06 17:00:00
425.9,2020 01 06 18:00:00
456.7,2020 01 06 19:00:00
426.7,2020 01 06 20:00:00
456.7,2020 01 06 21:00:00
426.7,2020 01 06 22:00:00
459.8,2020 01 06 23:00:00
142.5,2020 01 07 00:00:00
172.5,2020 01 07 01:00:00
142.5,2020 01 07 02:00:00
172.5,2020 01 07 03:00:00
142.5,2020 01 07 04:00:00
172.5,2020 01 07 05:00:00
142.5,2020 01 07 06:00:00
172.5,2020 01 07 07:00:00
414.4,2020 01 07 08:00:00
498.6,2020 01 07 09:00:00
627.0,2020 01 07 10:00:00
657.8,2020 01 07 11:00:00
