power [kw],Time
1271.1,2020 01 01 00:00:00
1361.1,2020 01 01 01:00:00
1273.4,2020 01 01 02:00:00
1361.1,2020 01 01 03:00:00
1271.1,2020 01 01 04:00:00
1361.1,2020 01 01 05:00:00
1275.8,2020 01 01 06:00:00
1365.8,2020 01 01 07:00:00
1189.1,2020 01 01 08:00:00
1334.5,2020 01 01 09:00:00
1622.5,2020 01 01 10:00:00
1707.8,2020 01 01 11:00:00
1228.1,2020 01 01 12:00:00
1315.8,2020 01 01 13:00:00
1608.4,2020 01 01 14:00:00
1698.4,2020 01 01 15:00:00
1300.8,2020 01 01 16:00:00
1330.6,2020 01 01 17:00:00
1240.6,2020 01 01 18:00:00
1333.0,2020 01 01 19:00:00
1243.0,2020 01 01 20:00:00
1335.3,2020 01 01 21:00:00
1247.7,2020 01 01 22:00:00
1340.0,2020 01 01 23:00:00
1250.0,2020 01 02 00:00:00
1342.3,2020 01 02 01:00:00
1252.3,2020 01 02 02:00:00
1342.3,2020 01 02 03:00:00
1252.3,2020 01 02 04:00:00
1342.3,2020 01 02 05:00:00
1252.3,2020 01 02 06:00:00
1340.0,2020 01 02 07:00:00
1170.3,2020 01 02 08:00:00
1313.4,2020 01 02 09:00:00
1603.8,2020 01 02 10:00:00
1691.4,2020 01 02 11:00:00
1214.1,2020 01 02 12:00:00
1302.5,2020 01 02 13:00:00
1599.1,2020 01 02 14:00:00
1691.4,2020 01 02 15:00:00
1296.1,2020 01 02 16:00:00
1325.9,2020 01 02 17:00:00
1238.3,2020 01 02 18:00:00
1330.6,2020 01 02 19:00:00
1243.0,2020 01 02 20:00:00
1337.7,2020 01 02 21:00:00
1247.7,2020 01 02 22:00:00
1344.7,2020 01 02 23:00:00
1252.3,2020 01 03 00:00:00
1351.7,2020 01 03 01:00:00
1252.3,2020 01 03 02:00:00
1344.7,2020 01 03 03:00:00
1254.7,2020 01 03 04:00:00
1349.4,2020 01 03 05:00:00
1264.1,2020 01 03 06:00:00
1340.0,2020 01 03 07:00:00
1170.3,2020 01 03 08:00:00
1258.0,2020 01 03 09:00:00
1475.6,2020 01 03 10:00:00
1565.6,2020 01 03 11:00:00
1165.6,2020 01 03 12:00:00
1255.6,2020 01 03 13:00:00
1482.7,2020 01 03 14:00:00
1575.0,2020 01 03 15:00:00
1247.7,2020 01 03 16:00:00
1330.6,2020 01 03 17:00:00
1240.6,2020 01 03 18:00:00
1330.6,2020 01 03 19:00:00
1238.3,2020 01 03 20:00:00
1330.6,2020 01 03 21:00:00
1235.9,2020 01 03 22:00:00
1325.9,2020 01 03 23:00:00
1235.9,2020 01 04 00:00:00
1325.9,2020 01 04 01:00:00
1412.8,2020 01 04 02:00:00
1325.9,2020 01 04 03:00:00
1235.9,2020 01 04 04:00:00
1504.9,2020 01 04 05:00:00
1414.7,2020 01 04 06:00:00
1509.2,2020 01 04 07:00:00
1347.1,2020 01 04 08:00:00
1437.1,2020 01 04 09:00:00
1670.6,2020 01 04 10:00:00
1760.6,2020 01 04 11:00:00
1486.0,2020 01 04 12:00:00
1582.7,2020 01 04 13:00:00
1802.7,2020 01 04 14:00:00
1906.2,2020 01 04 15:00:00
1581.2,2020 01 04 16:00:00
1671.2,2020 01 04 17:00:00
1581.2,2020 01 04 18:00:00
1664.4,2020 01 04 19:00:00
1581.2,2020 01 04 20:00:00
1530.0,2020 01 04 21:00:00
1435.6,2020 01 04 22:00:00
1507.6,2020 01 04 23:00:00
1225.0,2020 01 05 00:00:00
1315.0,2020 01 05 01:00:00
1226.6,2020 01 05 02:00:00
1318.9,2020 01 05 03:00:00
1231.3,2020 01 05 04:00:00
1323.6,2020 01 05 05:00:00
1235.9,2020 01 05 06:00:00
1328.3,2020 01 05 07:00:00
1163.3,2020 01 05 08:00:00
1315.8,2020 01 05 09:00:00
1613.1,2020 01 05 10:00:00
1700.8,2020 01 05 11:00:00
1232.8,2020 01 05 12:00:00
1315.8,2020 01 05 13:00:00
1615.5,2020 01 05 14:00:00
1712.5,2020 01 05 15:00:00
1317.2,2020 01 05 16:00:00
1347.0,2020 01 05 17:00:00
1259.4,2020 01 05 18:00:00
1356.4,2020 01 05 19:00:00
1268.8,2020 01 05 20:00:00
1363.4,2020 01 05 21:00:00
1275.8,2020 01 05 22:00:00
1370.5,2020 01 05 23:00:00
1280.5,2020 01 06 00:00:00
1372.8,2020 01 06 01:00:00
1282.8,2020 01 06 02:00:00
1372.8,2020 01 06 03:00:00
1282.8,2020 01 06 04:00:00
1372.8,2020 01 06 05:00:00
1282.8,2020 01 06 06:00:00
1372.8,2020 01 06 07:00:00
1210.2,2020 01 06 08:00:00
1362.7,2020 01 06 09:00:00
1657.7,2020 01 06 10:00:00
1745.3,2020 01 06 11:00:00
1270.3,2020 01 06 12:00:00
1355.6,2020 01 06 13:00:00
1650.6,2020 01 06 14:00:00
1740.6,2020 01 06 15:00:00
1343.0,2020 01 06 16:00:00
1372.8,2020 01 06 17:00:00
1282.8,2020 01 06 18:00:00
1375.2,2020 01 06 19:00:00
1285.2,2020 01 06 20:00:00
1375.2,2020 01 06 21:00:00
1285.2,2020 01 06 22:00:00
1384.5,2020 01 06 23:00:00
1287.5,2020 01 07 00:00:00
1377.5,2020 01 07 01:00:00
1285.2,2020 01 07 02:00:00
1375.2,2020 01 07 03:00:00
1282.8,2020 01 07 04:00:00
1375.2,2020 01 07 05:00:00
1282.8,2020 01 07 06:00:00
1370.5,2020 01 07 07:00:00
1203.1,2020 01 07 08:00:00
1353.3,2020 01 07 09:00:00
1643.6,2020 01 07 10:00:00
1735.9,2020 01 07 11:00:00
1258.6,2020 01 07 12:00:00
1348.6,2020 01 07 13:00:00
1655.3,2020 01 07 14:00:00
1745.3,2020 01 07 15:00:00
1347.7,2020 01 07 16:00:00
1379.8,2020 01 07 17:00:00
1294.5,2020 01 07 18:00:00
1391.6,2020 01 07 19:00:00
1303.9,2020 01 07 20:00:00
1396.3,2020 01 07 21:00:00
1308.6,2020 01 07 22:00:00
1398.6,2020 01 07 23:00:00
1310.9,2020 01 08 00:00:00
1400.9,2020 01 08 01:00:00
1310.9,2020 01 08 02:00:00
1403.3,2020 01 08 03:00:00
1310.9,2020 01 08 04:00:00
1400.9,2020 01 08 05:00:00
1310.9,2020 01 08 06:00:00
1398.6,2020 01 08 07:00:00
1226.6,2020 01 08 08:00:00
1372.0,2020 01 08 09:00:00
1662.3,2020 01 08 10:00:00
1747.7,2020 01 08 11:00:00
1270.3,2020 01 08 12:00:00
1358.0,2020 01 08 13:00:00
1653.0,2020 01 08 14:00:00
1745.3,2020 01 08 15:00:00
1347.7,2020 01 08 16:00:00
1379.8,2020 01 08 17:00:00
1292.2,2020 01 08 18:00:00
1382.2,2020 01 08 19:00:00
1292.2,2020 01 08 20:00:00
1384.5,2020 01 08 21:00:00
1289.8,2020 01 08 22:00:00
1377.5,2020 01 08 23:00:00
1285.2,2020 01 09 00:00:00
1372.8,2020 01 09 01:00:00
1280.5,2020 01 09 02:00:00
1368.1,2020 01 09 03:00:00
1273.4,2020 01 09 04:00:00
1363.4,2020 01 09 05:00:00
1268.8,2020 01 09 06:00:00
1368.1,2020 01 09 07:00:00
1203.1,2020 01 09 08:00:00
1348.6,2020 01 09 09:00:00
1638.9,2020 01 09 10:00:00
1717.2,2020 01 09 11:00:00
1242.2,2020 01 09 12:00:00
1329.8,2020 01 09 13:00:00
1627.2,2020 01 09 14:00:00
1719.5,2020 01 09 15:00:00
1321.9,2020 01 09 16:00:00
1349.4,2020 01 09 17:00:00
1261.7,2020 01 09 18:00:00
1354.1,2020 01 09 19:00:00
1268.8,2020 01 09 20:00:00
1361.1,2020 01 09 21:00:00
1273.4,2020 01 09 22:00:00
1368.1,2020 01 09 23:00:00
1280.5,2020 01 10 00:00:00
1370.5,2020 01 10 01:00:00
1285.2,2020 01 10 02:00:00
1377.5,2020 01 10 03:00:00
1289.8,2020 01 10 04:00:00
1379.8,2020 01 10 05:00:00
1292.2,2020 01 10 06:00:00
1382.2,2020 01 10 07:00:00
1214.8,2020 01 10 08:00:00
1300.2,2020 01 10 09:00:00
1517.8,2020 01 10 10:00:00
1605.5,2020 01 10 11:00:00
1203.1,2020 01 10 12:00:00
1290.8,2020 01 10 13:00:00
1508.4,2020 01 10 14:00:00
1600.8,2020 01 10 15:00:00
1280.5,2020 01 10 16:00:00
1372.8,2020 01 10 17:00:00
1285.2,2020 01 10 18:00:00
1377.5,2020 01 10 19:00:00
1287.5,2020 01 10 20:00:00
1379.8,2020 01 10 21:00:00
1292.2,2020 01 10 22:00:00
1382.2,2020 01 10 23:00:00
1289.8,2020 01 11 00:00:00
1379.8,2020 01 11 01:00:00
1287.5,2020 01 11 02:00:00
1377.5,2020 01 11 03:00:00
1287.5,2020 01 11 04:00:00
1375.2,2020 01 11 05:00:00
1287.5,2020 01 11 06:00:00
1377.5,2020 01 11 07:00:00
1200.8,2020 01 11 08:00:00
1286.1,2020 01 11 09:00:00
1501.4,2020 01 11 10:00:00
1582.0,2020 01 11 11:00:00
1177.3,2020 01 11 12:00:00
1255.6,2020 01 11 13:00:00
1475.6,2020 01 11 14:00:00
1568.0,2020 01 11 15:00:00
1245.3,2020 01 11 16:00:00
1335.3,2020 01 11 17:00:00
1245.3,2020 01 11 18:00:00
1335.3,2020 01 11 19:00:00
1247.7,2020 01 11 20:00:00
1340.0,2020 01 11 21:00:00
1247.7,2020 01 11 22:00:00
1335.3,2020 01 11 23:00:00
1247.7,2020 01 12 00:00:00
1335.3,2020 01 12 01:00:00
1243.0,2020 01 12 02:00:00
1337.7,2020 01 12 03:00:00
1247.7,2020 01 12 04:00:00
1335.3,2020 01 12 05:00:00
1247.7,2020 01 12 06:00:00
1337.7,2020 01 12 07:00:00
1175.0,2020 01 12 08:00:00
1325.2,2020 01 12 09:00:00
1620.2,2020 01 12 10:00:00
1710.2,2020 01 12 11:00:00
1232.8,2020 01 12 12:00:00
1320.5,2020 01 12 13:00:00
1615.5,2020 01 12 14:00:00
1705.5,2020 01 12 15:00:00
1305.5,2020 01 12 16:00:00
1330.6,2020 01 12 17:00:00
1240.6,2020 01 12 18:00:00
1323.6,2020 01 12 19:00:00
1238.3,2020 01 12 20:00:00
1328.3,2020 01 12 21:00:00
1240.6,2020 01 12 22:00:00
1330.6,2020 01 12 23:00:00
1240.6,2020 01 13 00:00:00
1333.0,2020 01 13 01:00:00
1245.3,2020 01 13 02:00:00
1335.3,2020 01 13 03:00:00
1247.7,2020 01 13 04:00:00
1344.7,2020 01 13 05:00:00
1261.7,2020 01 13 06:00:00
1354.1,2020 01 13 07:00:00
1186.7,2020 01 13 08:00:00
1341.6,2020 01 13 09:00:00
1636.6,2020 01 13 10:00:00
1726.6,2020 01 13 11:00:00
1251.6,2020 01 13 12:00:00
