power [kw],Time
66.21,2020 01 01 00:00:00
58.99,2020 01 01 01:00:00
65.35,2020 01 01 02:00:00
59.05,2020 01 01 03:00:00
66.23,2020 01 01 04:00:00
59.39,2020 01 01 05:00:00
68.68,2020 01 01 06:00:00
43.22,2020 01 01 07:00:00
35.13,2020 01 01 08:00:00
30.52,2020 01 01 09:00:00
34.87,2020 01 01 10:00:00
33.68,2020 01 01 11:00:00
32.48,2020 01 01 12:00:00
29.12,2020 01 01 13:00:00
33.84,2020 01 01 14:00:00
28.04,2020 01 01 15:00:00
42.09,2020 01 01 16:00:00
49.71,2020 01 01 17:00:00
54.93,2020 01 01 18:00:00
56.27,2020 01 01 19:00:00
59.42,2020 01 01 20:00:00
58.41,2020 01 01 21:00:00
69.68,2020 01 01 22:00:00
63.91,2020 01 01 23:00:00
70.6,2020 01 02 00:00:00
64.09,2020 01 02 01:00:00
79.83,2020 01 02 02:00:00
69.13,2020 01 02 03:00:00
83.24,2020 01 02 04:00:00
72.72,2020 01 02 05:00:00
104.91,2020 01 02 06:00:00
292.3,2020 01 02 07:00:00
370.24,2020 01 02 08:00:00
369.9,2020 01 02 09:00:00
375.34,2020 01 02 10:00:00
376.22,2020 01 02 11:00:00
375.2,2020 01 02 12:00:00
369.57,2020 01 02 13:00:00
369.54,2020 01 02 14:00:00
362.16,2020 01 02 15:00:00
367.74,2020 01 02 16:00:00
303.22,2020 01 02 17:00:00
303.24,2020 01 02 18:00:00
303.61,2020 01 02 19:00:00
303.59,2020 01 02 20:00:00
38.23,2020 01 02 21:00:00
46.74,2020 01 02 22:00:00
52.69,2020 01 02 23:00:00
47.59,2020 01 03 00:00:00
51.08,2020 01 03 01:00:00
56.02,2020 01 03 02:00:00
60.87,2020 01 03 03:00:00
59.14,2020 01 03 04:00:00
62.64,2020 01 03 05:00:00
104.67,2020 01 03 06:00:00
290.12,2020 01 03 07:00:00
369.65,2020 01 03 08:00:00
369.54,2020 01 03 09:00:00
374.61,2020 01 03 10:00:00
375.39,2020 01 03 11:00:00
374.46,2020 01 03 12:00:00
368.86,2020 01 03 13:00:00
368.84,2020 01 03 14:00:00
361.65,2020 01 03 15:00:00
367.35,2020 01 03 16:00:00
302.78,2020 01 03 17:00:00
303.02,2020 01 03 18:00:00
303.18,2020 01 03 19:00:00
303.24,2020 01 03 20:00:00
38.64,2020 01 03 21:00:00
37.45,2020 01 03 22:00:00
47.32,2020 01 03 23:00:00
48.0,2020 01 04 00:00:00
51.68,2020 01 04 01:00:00
49.22,2020 01 04 02:00:00
59.91,2020 01 04 03:00:00
55.53,2020 01 04 04:00:00
62.91,2020 01 04 05:00:00
104.47,2020 01 04 06:00:00
290.4,2020 01 04 07:00:00
369.67,2020 01 04 08:00:00
369.63,2020 01 04 09:00:00
375.22,2020 01 04 10:00:00
376.16,2020 01 04 11:00:00
375.17,2020 01 04 12:00:00
369.57,2020 01 04 13:00:00
369.55,2020 01 04 14:00:00
362.18,2020 01 04 15:00:00
367.76,2020 01 04 16:00:00
