power [kw],Time
73.27,2020 01 01 00:00:00
82.77,2020 01 01 01:00:00
63.8,2020 01 01 02:00:00
94.33,2020 01 01 03:00:00
111.23,2020 01 01 04:00:00
80.7,2020 01 01 05:00:00
168.92,2020 01 01 06:00:00
158.26,2020 01 01 07:00:00
234.72,2020 01 01 08:00:00
166.68,2020 01 01 09:00:00
286.38,2020 01 01 10:00:00
364.43,2020 01 01 11:00:00
405.02,2020 01 01 12:00:00
400.85,2020 01 01 13:00:00
391.45,2020 01 01 14:00:00
380.83,2020 01 01 15:00:00
399.97,2020 01 01 16:00:00
326.63,2020 01 01 17:00:00
320.57,2020 01 01 18:00:00
270.22,2020 01 01 19:00:00
248.56,2020 01 01 20:00:00
212.63,2020 01 01 21:00:00
34.59,2020 01 01 22:00:00
159.85,2020 01 01 23:00:00
97.96,2020 01 02 00:00:00
69.04,2020 01 02 01:00:00
73.22,2020 01 02 02:00:00
83.05,2020 01 02 03:00:00
85.15,2020 01 02 04:00:00
88.24,2020 01 02 05:00:00
209.74,2020 01 02 06:00:00
201.2,2020 01 02 07:00:00
414.54,2020 01 02 08:00:00
518.12,2020 01 02 09:00:00
493.71,2020 01 02 10:00:00
571.15,2020 01 02 11:00:00
520.58,2020 01 02 12:00:00
512.33,2020 01 02 13:00:00
502.85,2020 01 02 14:00:00
494.4,2020 01 02 15:00:00
515.04,2020 01 02 16:00:00
535.85,2020 01 02 17:00:00
501.79,2020 01 02 18:00:00
461.98,2020 01 02 19:00:00
388.61,2020 01 02 20:00:00
213.33,2020 01 02 21:00:00
23.85,2020 01 02 22:00:00
175.54,2020 01 02 23:00:00
81.55,2020 01 03 00:00:00
82.34,2020 01 03 01:00:00
90.81,2020 01 03 02:00:00
71.2,2020 01 03 03:00:00
144.24,2020 01 03 04:00:00
148.24,2020 01 03 05:00:00
254.11,2020 01 03 06:00:00
227.54,2020 01 03 07:00:00
419.87,2020 01 03 08:00:00
532.1,2020 01 03 09:00:00
515.16,2020 01 03 10:00:00
593.01,2020 01 03 11:00:00
546.23,2020 01 03 12:00:00
539.45,2020 01 03 13:00:00
529.47,2020 01 03 14:00:00
520.79,2020 01 03 15:00:00
541.01,2020 01 03 16:00:00
560.68,2020 01 03 17:00:00
522.24,2020 01 03 18:00:00
466.28,2020 01 03 19:00:00
390.34,2020 01 03 20:00:00
214.2,2020 01 03 21:00:00
19.36,2020 01 03 22:00:00
154.9,2020 01 03 23:00:00
100.36,2020 01 04 00:00:00
85.64,2020 01 04 01:00:00
58.1,2020 01 04 02:00:00
85.41,2020 01 04 03:00:00
101.14,2020 01 04 04:00:00
75.18,2020 01 04 05:00:00
209.38,2020 01 04 06:00:00
201.61,2020 01 04 07:00:00
414.71,2020 01 04 08:00:00
517.83,2020 01 04 09:00:00
493.9,2020 01 04 10:00:00
571.21,2020 01 04 11:00:00
519.97,2020 01 04 12:00:00
512.21,2020 01 04 13:00:00
502.71,2020 01 04 14:00:00
494.11,2020 01 04 15:00:00
514.62,2020 01 04 16:00:00
535.16,2020 01 04 17:00:00
501.24,2020 01 04 18:00:00
460.72,2020 01 04 19:00:00
387.44,2020 01 04 20:00:00
212.45,2020 01 04 21:00:00
46.14,2020 01 04 22:00:00
176.5,2020 01 04 23:00:00
97.78,2020 01 05 00:00:00
58.71,2020 01 05 01:00:00
83.64,2020 01 05 02:00:00
82.44,2020 01 05 03:00:00
74.86,2020 01 05 04:00:00
98.64,2020 01 05 05:00:00
209.79,2020 01 05 06:00:00
201.16,2020 01 05 07:00:00
414.51,2020 01 05 08:00:00
518.17,2020 01 05 09:00:00
493.62,2020 01 05 10:00:00
571.05,2020 01 05 11:00:00
520.25,2020 01 05 12:00:00
511.76,2020 01 05 13:00:00
502.24,2020 01 05 14:00:00
493.65,2020 01 05 15:00:00
514.19,2020 01 05 16:00:00
534.65,2020 01 05 17:00:00
500.89,2020 01 05 18:00:00
460.15,2020 01 05 19:00:00
386.81,2020 01 05 20:00:00
212.1,2020 01 05 21:00:00
56.5,2020 01 05 22:00:00
177.53,2020 01 05 23:00:00
97.47,2020 01 06 00:00:00
60.15,2020 01 06 01:00:00
81.67,2020 01 06 02:00:00
82.38,2020 01 06 03:00:00
116.27,2020 01 06 04:00:00
137.75,2020 01 06 05:00:00
251.26,2020 01 06 06:00:00
224.12,2020 01 06 07:00:00
414.8,2020 01 06 08:00:00
518.38,2020 01 06 09:00:00
493.69,2020 01 06 10:00:00
571.14,2020 01 06 11:00:00
520.53,2020 01 06 12:00:00
512.14,2020 01 06 13:00:00
502.58,2020 01 06 14:00:00
494.06,2020 01 06 15:00:00
514.64,2020 01 06 16:00:00
535.19,2020 01 06 17:00:00
501.28,2020 01 06 18:00:00
444.38,2020 01 06 19:00:00
372.13,2020 01 06 20:00:00
200.7,2020 01 06 21:00:00
40.13,2020 01 06 22:00:00
175.34,2020 01 06 23:00:00
93.43,2020 01 07 00:00:00
54.7,2020 01 07 01:00:00
77.12,2020 01 07 02:00:00
78.21,2020 01 07 03:00:00
71.19,2020 01 07 04:00:00
92.5,2020 01 07 05:00:00
163.88,2020 01 07 06:00:00
155.53,2020 01 07 07:00:00
324.53,2020 01 07 08:00:00
400.32,2020 01 07 09:00:00
494.94,2020 01 07 10:00:00
571.94,2020 01 07 11:00:00
522.25,2020 01 07 12:00:00
517.59,2020 01 07 13:00:00
511.47,2020 01 07 14:00:00
504.91,2020 01 07 15:00:00
527.26,2020 01 07 16:00:00
549.21,2020 01 07 17:00:00
468.77,2020 01 07 18:00:00
335.07,2020 01 07 19:00:00
308.6,2020 01 07 20:00:00
179.08,2020 01 07 21:00:00
17.73,2020 01 07 22:00:00
180.94,2020 01 07 23:00:00
108.21,2020 01 08 00:00:00
71.12,2020 01 08 01:00:00
100.43,2020 01 08 02:00:00
99.37,2020 01 08 03:00:00
92.1,2020 01 08 04:00:00
117.38,2020 01 08 05:00:00
179.13,2020 01 08 06:00:00
172.11,2020 01 08 07:00:00
248.32,2020 01 08 08:00:00
180.09,2020 01 08 09:00:00
294.07,2020 01 08 10:00:00
367.25,2020 01 08 11:00:00
402.5,2020 01 08 12:00:00
396.7,2020 01 08 13:00:00
386.99,2020 01 08 14:00:00
378.19,2020 01 08 15:00:00
398.51,2020 01 08 16:00:00
325.68,2020 01 08 17:00:00
319.92,2020 01 08 18:00:00
268.7,2020 01 08 19:00:00
247.26,2020 01 08 20:00:00
212.0,2020 01 08 21:00:00
53.94,2020 01 08 22:00:00
172.04,2020 01 08 23:00:00
90.88,2020 01 09 00:00:00
63.38,2020 01 09 01:00:00
82.78,2020 01 09 02:00:00
76.68,2020 01 09 03:00:00
79.78,2020 01 09 04:00:00
97.86,2020 01 09 05:00:00
209.73,2020 01 09 06:00:00
201.05,2020 01 09 07:00:00
414.45,2020 01 09 08:00:00
518.17,2020 01 09 09:00:00
493.48,2020 01 09 10:00:00
571.01,2020 01 09 11:00:00
520.3,2020 01 09 12:00:00
511.75,2020 01 09 13:00:00
502.25,2020 01 09 14:00:00
493.72,2020 01 09 15:00:00
514.27,2020 01 09 16:00:00
534.75,2020 01 09 17:00:00
500.93,2020 01 09 18:00:00
460.23,2020 01 09 19:00:00
386.81,2020 01 09 20:00:00
212.06,2020 01 09 21:00:00
59.53,2020 01 09 22:00:00
177.41,2020 01 09 23:00:00
93.1,2020 01 10 00:00:00
63.33,2020 01 10 01:00:00
81.09,2020 01 10 02:00:00
78.29,2020 01 10 03:00:00
119.55,2020 01 10 04:00:00
137.25,2020 01 10 05:00:00
251.08,2020 01 10 06:00:00
223.81,2020 01 10 07:00:00
414.64,2020 01 10 08:00:00
518.17,2020 01 10 09:00:00
493.57,2020 01 10 10:00:00
571.07,2020 01 10 11:00:00
520.51,2020 01 10 12:00:00
512.0,2020 01 10 13:00:00
502.42,2020 01 10 14:00:00
493.93,2020 01 10 15:00:00
514.54,2020 01 10 16:00:00
535.02,2020 01 10 17:00:00
501.13,2020 01 10 18:00:00
444.1,2020 01 10 19:00:00
371.79,2020 01 10 20:00:00
200.45,2020 01 10 21:00:00
54.23,2020 01 10 22:00:00
177.3,2020 01 10 23:00:00
99.3,2020 01 11 00:00:00
58.82,2020 01 11 01:00:00
82.17,2020 01 11 02:00:00
84.53,2020 01 11 03:00:00
75.48,2020 01 11 04:00:00
97.71,2020 01 11 05:00:00
210.21,2020 01 11 06:00:00
201.85,2020 01 11 07:00:00
415.01,2020 01 11 08:00:00
519.24,2020 01 11 09:00:00
494.76,2020 01 11 10:00:00
571.71,2020 01 11 11:00:00
521.93,2020 01 11 12:00:00
517.25,2020 01 11 13:00:00
511.13,2020 01 11 14:00:00
505.66,2020 01 11 15:00:00
528.99,2020 01 11 16:00:00
551.07,2020 01 11 17:00:00
513.82,2020 01 11 18:00:00
474.75,2020 01 11 19:00:00
400.25,2020 01 11 20:00:00
224.42,2020 01 11 21:00:00
33.88,2020 01 11 22:00:00
184.88,2020 01 11 23:00:00
90.01,2020 01 12 00:00:00
90.23,2020 01 12 01:00:00
93.7,2020 01 12 02:00:00
70.02,2020 01 12 03:00:00
96.81,2020 01 12 04:00:00
101.43,2020 01 12 05:00:00
210.76,2020 01 12 06:00:00
202.64,2020 01 12 07:00:00
415.46,2020 01 12 08:00:00
519.43,2020 01 12 09:00:00
495.49,2020 01 12 10:00:00
572.29,2020 01 12 11:00:00
521.86,2020 01 12 12:00:00
514.71,2020 01 12 13:00:00
504.92,2020 01 12 14:00:00
495.85,2020 01 12 15:00:00
515.7,2020 01 12 16:00:00
536.02,2020 01 12 17:00:00
501.65,2020 01 12 18:00:00
460.88,2020 01 12 19:00:00
387.84,2020 01 12 20:00:00
212.64,2020 01 12 21:00:00
46.56,2020 01 12 22:00:00
176.72,2020 01 12 23:00:00
96.27,2020 01 13 00:00:00
61.04,2020 01 13 01:00:00
84.47,2020 01 13 02:00:00
81.41,2020 01 13 03:00:00
116.84,2020 01 13 04:00:00
140.35,2020 01 13 05:00:00
251.65,2020 01 13 06:00:00
224.79,2020 01 13 07:00:00
415.21,2020 01 13 08:00:00
519.14,2020 01 13 09:00:00
494.95,2020 01 13 10:00:00
572.99,2020 01 13 11:00:00
526.16,2020 01 13 12:00:00
522.9,2020 01 13 13:00:00
517.92,2020 01 13 14:00:00
513.85,2020 01 13 15:00:00
527.67,2020 01 13 16:00:00
559.65,2020 01 13 17:00:00
524.73,2020 01 13 18:00:00
475.07,2020 01 13 19:00:00
405.59,2020 01 13 20:00:00
235.46,2020 01 13 21:00:00
53.05,2020 01 13 22:00:00
143.51,2020 01 13 23:00:00
72.28,2020 01 14 00:00:00
60.16,2020 01 14 01:00:00
62.2,2020 01 14 02:00:00
60.67,2020 01 14 03:00:00
