power [kw],Time
925150.0879,2010 01 01 00:00:00
897297.3737,2010 01 01 01:00:00
884673.2683,2010 01 01 02:00:00
876067.8117999999,2010 01 01 03:00:00
858576.8176000001,2010 01 01 04:00:00
907002.1678,2010 01 01 05:00:00
844622.7629,2010 01 01 06:00:00
827112.1923,2010 01 01 07:00:00
831728.2342999999,2010 01 01 08:00:00
864029.0261,2010 01 01 09:00:00
909071.6816,2010 01 01 10:00:00
907374.6613,2010 01 01 11:00:00
901873.197,2010 01 01 12:00:00
870480.5696,2010 01 01 13:00:00
854155.7838000001,2010 01 01 14:00:00
847190.3572,2010 01 01 15:00:00
884526.0601,2010 01 01 16:00:00
939227.7157,2010 01 01 17:00:00
978435.5566,2010 01 01 18:00:00
974565.3537,2010 01 01 19:00:00
944257.351,2010 01 01 20:00:00
940215.3674,2010 01 01 21:00:00
900423.9109,2010 01 01 22:00:00
837708.4618,2010 01 01 23:00:00
812044.4751,2010 01 02 00:00:00
764000.8715,2010 01 02 01:00:00
751354.0407999998,2010 01 02 02:00:00
745281.0532,2010 01 02 03:00:00
743692.1119,2010 01 02 04:00:00
757749.8565000001,2010 01 02 05:00:00
828086.3216,2010 01 02 06:00:00
911574.2053,2010 01 02 07:00:00
1015045.1621,2010 01 02 08:00:00
1058746.4795,2010 01 02 09:00:00
1096869.654,2010 01 02 10:00:00
1090735.1969,2010 01 02 11:00:00
1044644.8885,2010 01 02 12:00:00
1054869.0136,2010 01 02 13:00:00
1084831.0075,2010 01 02 14:00:00
1077353.2806000002,2010 01 02 15:00:00
1095727.9587,2010 01 02 16:00:00
1111772.0987,2010 01 02 17:00:00
1119033.8853000002,2010 01 02 18:00:00
1099618.8641,2010 01 02 19:00:00
1104551.0407,2010 01 02 20:00:00
1078577.5209,2010 01 02 21:00:00
1050891.4212,2010 01 02 22:00:00
1014496.3665,2010 01 02 23:00:00
938630.3173,2010 01 03 00:00:00
923047.7225,2010 01 03 01:00:00
907001.4142,2010 01 03 02:00:00
897010.0308,2010 01 03 03:00:00
918280.2289,2010 01 03 04:00:00
929188.6245,2010 01 03 05:00:00
942821.7116,2010 01 03 06:00:00
990546.2139,2010 01 03 07:00:00
1046497.8075,2010 01 03 08:00:00
1094344.3121999998,2010 01 03 09:00:00
1115889.5899,2010 01 03 10:00:00
1114768.2578,2010 01 03 11:00:00
1061977.4176,2010 01 03 12:00:00
1078394.0298,2010 01 03 13:00:00
1093972.276,2010 01 03 14:00:00
1111278.3336,2010 01 03 15:00:00
1118463.809,2010 01 03 16:00:00
1159323.8195,2010 01 03 17:00:00
1154031.7216,2010 01 03 18:00:00
1111600.4028,2010 01 03 19:00:00
1106772.4794,2010 01 03 20:00:00
1104890.8458000002,2010 01 03 21:00:00
1088649.2783,2010 01 03 22:00:00
1008912.8326,2010 01 03 23:00:00
970823.1006,2010 01 04 00:00:00
948066.5875,2010 01 04 01:00:00
938992.7106,2010 01 04 02:00:00
931887.6316,2010 01 04 03:00:00
917549.5965,2010 01 04 04:00:00
929566.028,2010 01 04 05:00:00
962913.2247,2010 01 04 06:00:00
1012516.9764,2010 01 04 07:00:00
1061217.5629,2010 01 04 08:00:00
1102161.4221,2010 01 04 09:00:00
1129962.2803999998,2010 01 04 10:00:00
1127948.8998,2010 01 04 11:00:00
1071292.8397,2010 01 04 12:00:00
1092213.6424,2010 01 04 13:00:00
1131779.9831,2010 01 04 14:00:00
1129123.1141,2010 01 04 15:00:00
1121372.6876,2010 01 04 16:00:00
1136688.1283,2010 01 04 17:00:00
1140387.0017,2010 01 04 18:00:00
1125994.2252,2010 01 04 19:00:00
1102582.2033000002,2010 01 04 20:00:00
1091925.0388000002,2010 01 04 21:00:00
1062415.5961,2010 01 04 22:00:00
1005927.4864,2010 01 04 23:00:00
962822.6493,2010 01 05 00:00:00
936659.9992,2010 01 05 01:00:00
915890.764,2010 01 05 02:00:00
925690.5386,2010 01 05 03:00:00
912690.264,2010 01 05 04:00:00
924898.0197,2010 01 05 05:00:00
959576.1559,2010 01 05 06:00:00
1006466.1218,2010 01 05 07:00:00
1067529.4693999998,2010 01 05 08:00:00
1111523.6949,2010 01 05 09:00:00
1136473.6026,2010 01 05 10:00:00
1137622.4964,2010 01 05 11:00:00
1075856.7031,2010 01 05 12:00:00
1089877.2919,2010 01 05 13:00:00
1111002.2716,2010 01 05 14:00:00
1119680.3079,2010 01 05 15:00:00
1133219.7208,2010 01 05 16:00:00
1143942.317,2010 01 05 17:00:00
1156453.8778,2010 01 05 18:00:00
1130689.3527000002,2010 01 05 19:00:00
1112973.9335,2010 01 05 20:00:00
1134523.0379,2010 01 05 21:00:00
1081809.8708,2010 01 05 22:00:00
1019445.4921,2010 01 05 23:00:00
975059.4474,2010 01 06 00:00:00
960073.6159,2010 01 06 01:00:00
930017.2479,2010 01 06 02:00:00
946352.7826,2010 01 06 03:00:00
951536.3414,2010 01 06 04:00:00
946495.8358,2010 01 06 05:00:00
939793.949,2010 01 06 06:00:00
1004871.2207,2010 01 06 07:00:00
1046286.634,2010 01 06 08:00:00
1093218.1505,2010 01 06 09:00:00
1120521.102,2010 01 06 10:00:00
1129568.9043,2010 01 06 11:00:00
1076629.5111,2010 01 06 12:00:00
1097127.4083999998,2010 01 06 13:00:00
1129023.0582,2010 01 06 14:00:00
1107287.0743,2010 01 06 15:00:00
1140564.8707,2010 01 06 16:00:00
1148596.4604,2010 01 06 17:00:00
1131893.5079,2010 01 06 18:00:00
1132814.6409999998,2010 01 06 19:00:00
1112445.9985,2010 01 06 20:00:00
1102418.5862,2010 01 06 21:00:00
1076260.0307999998,2010 01 06 22:00:00
1021643.459,2010 01 06 23:00:00
963923.3976,2010 01 07 00:00:00
948119.8172,2010 01 07 01:00:00
936647.1169,2010 01 07 02:00:00
919072.4334,2010 01 07 03:00:00
911539.6621,2010 01 07 04:00:00
913087.9038,2010 01 07 05:00:00
930008.6383,2010 01 07 06:00:00
961908.7015,2010 01 07 07:00:00
1031518.7498,2010 01 07 08:00:00
1072195.71,2010 01 07 09:00:00
1096567.7088,2010 01 07 10:00:00
1101913.3123,2010 01 07 11:00:00
1058308.5677,2010 01 07 12:00:00
1070311.5604,2010 01 07 13:00:00
1101749.0203,2010 01 07 14:00:00
1098804.4607000002,2010 01 07 15:00:00
1117216.0258999998,2010 01 07 16:00:00
1142251.681,2010 01 07 17:00:00
1145412.5723,2010 01 07 18:00:00
1115162.9275999998,2010 01 07 19:00:00
1095453.9552,2010 01 07 20:00:00
1118940.4179000002,2010 01 07 21:00:00
1061118.7432,2010 01 07 22:00:00
1022424.5349,2010 01 07 23:00:00
960877.8253,2010 01 08 00:00:00
931716.0967,2010 01 08 01:00:00
910390.6086,2010 01 08 02:00:00
900249.6912,2010 01 08 03:00:00
896187.4576,2010 01 08 04:00:00
916902.3122,2010 01 08 05:00:00
939900.3102,2010 01 08 06:00:00
1018378.2617,2010 01 08 07:00:00
1065815.8535,2010 01 08 08:00:00
1123872.2091,2010 01 08 09:00:00
1143459.4287,2010 01 08 10:00:00
1136631.8144,2010 01 08 11:00:00
1082976.014,2010 01 08 12:00:00
1116882.9906,2010 01 08 13:00:00
1117238.9673,2010 01 08 14:00:00
1131821.8425,2010 01 08 15:00:00
1154497.0767,2010 01 08 16:00:00
1174521.6885000002,2010 01 08 17:00:00
1177658.7747,2010 01 08 18:00:00
1168710.5262,2010 01 08 19:00:00
1163890.8646,2010 01 08 20:00:00
1160631.7958,2010 01 08 21:00:00
1099976.2825,2010 01 08 22:00:00
1027230.8094,2010 01 08 23:00:00
985469.4513,2010 01 09 00:00:00
956366.2556,2010 01 09 01:00:00
931950.0528,2010 01 09 02:00:00
924431.496,2010 01 09 03:00:00
924768.998,2010 01 09 04:00:00
933748.3781,2010 01 09 05:00:00
958264.5171,2010 01 09 06:00:00
1012086.511,2010 01 09 07:00:00
1099651.4445,2010 01 09 08:00:00
1135156.3968000002,2010 01 09 09:00:00
1164260.8628,2010 01 09 10:00:00
1163869.7569000002,2010 01 09 11:00:00
1108326.885,2010 01 09 12:00:00
1119591.0333,2010 01 09 13:00:00
1135975.9032,2010 01 09 14:00:00
1119377.0836999998,2010 01 09 15:00:00
1164199.4955,2010 01 09 16:00:00
1177417.2167,2010 01 09 17:00:00
1191017.2346,2010 01 09 18:00:00
1179420.3396,2010 01 09 19:00:00
1163902.6646,2010 01 09 20:00:00
1153181.9556,2010 01 09 21:00:00
1119456.6824,2010 01 09 22:00:00
1042981.3304,2010 01 09 23:00:00
993063.6138,2010 01 10 00:00:00
945959.4626,2010 01 10 01:00:00
929756.3577,2010 01 10 02:00:00
926172.2885,2010 01 10 03:00:00
921237.0081,2010 01 10 04:00:00
936445.0251,2010 01 10 05:00:00
972403.3283,2010 01 10 06:00:00
1018616.9629,2010 01 10 07:00:00
1082378.1231,2010 01 10 08:00:00
1122763.6225,2010 01 10 09:00:00
1139462.9693999998,2010 01 10 10:00:00
1157778.5703,2010 01 10 11:00:00
1086203.5212,2010 01 10 12:00:00
1099220.1393,2010 01 10 13:00:00
1115851.4130000002,2010 01 10 14:00:00
1122359.8102,2010 01 10 15:00:00
1142642.9224,2010 01 10 16:00:00
1160906.4908,2010 01 10 17:00:00
1188994.0584,2010 01 10 18:00:00
1164102.8141,2010 01 10 19:00:00
1158162.4126000002,2010 01 10 20:00:00
1139243.4948,2010 01 10 21:00:00
1105647.2786,2010 01 10 22:00:00
1046658.1965,2010 01 10 23:00:00
982241.564,2010 01 11 00:00:00
942228.7763,2010 01 11 01:00:00
923993.086,2010 01 11 02:00:00
922280.5238,2010 01 11 03:00:00
912287.0511,2010 01 11 04:00:00
923532.8501,2010 01 11 05:00:00
974757.6128,2010 01 11 06:00:00
1020187.1248,2010 01 11 07:00:00
1075878.9532,2010 01 11 08:00:00
1118307.892,2010 01 11 09:00:00
1153996.1762,2010 01 11 10:00:00
1137628.9145,2010 01 11 11:00:00
1070544.5147,2010 01 11 12:00:00
1111282.8018999998,2010 01 11 13:00:00
