power [kw],Time
80.34,2020 01 01 00:00:00
79.65,2020 01 01 01:00:00
32.43,2020 01 01 02:00:00
31.46,2020 01 01 03:00:00
43.87,2020 01 01 04:00:00
67.18,2020 01 01 05:00:00
226.24,2020 01 01 06:00:00
356.41,2020 01 01 07:00:00
394.67,2020 01 01 08:00:00
284.83,2020 01 01 09:00:00
188.58,2020 01 01 10:00:00
175.01,2020 01 01 11:00:00
174.48,2020 01 01 12:00:00
133.24,2020 01 01 13:00:00
129.49,2020 01 01 14:00:00
122.76,2020 01 01 15:00:00
189.22,2020 01 01 16:00:00
256.39,2020 01 01 17:00:00
422.76,2020 01 01 18:00:00
458.11,2020 01 01 19:00:00
508.36,2020 01 01 20:00:00
446.66,2020 01 01 21:00:00
332.28,2020 01 01 22:00:00
159.71,2020 01 01 23:00:00
48.94,2020 01 02 00:00:00
27.19,2020 01 02 01:00:00
4.74,2020 01 02 02:00:00
3.88,2020 01 02 03:00:00
15.99,2020 01 02 04:00:00
81.58,2020 01 02 05:00:00
295.97,2020 01 02 06:00:00
393.25,2020 01 02 07:00:00
282.8,2020 01 02 08:00:00
235.48,2020 01 02 09:00:00
151.26,2020 01 02 10:00:00
163.53,2020 01 02 11:00:00
156.75,2020 01 02 12:00:00
131.03,2020 01 02 13:00:00
121.83,2020 01 02 14:00:00
113.43,2020 01 02 15:00:00
183.77,2020 01 02 16:00:00
268.73,2020 01 02 17:00:00
419.11,2020 01 02 18:00:00
465.31,2020 01 02 19:00:00
527.27,2020 01 02 20:00:00
481.34,2020 01 02 21:00:00
333.1,2020 01 02 22:00:00
158.15,2020 01 02 23:00:00
47.74,2020 01 03 00:00:00
26.94,2020 01 03 01:00:00
5.57,2020 01 03 02:00:00
5.7,2020 01 03 03:00:00
19.76,2020 01 03 04:00:00
86.49,2020 01 03 05:00:00
302.79,2020 01 03 06:00:00
452.19,2020 01 03 07:00:00
309.93,2020 01 03 08:00:00
244.35,2020 01 03 09:00:00
126.39,2020 01 03 10:00:00
120.16,2020 01 03 11:00:00
115.89,2020 01 03 12:00:00
97.71,2020 01 03 13:00:00
97.3,2020 01 03 14:00:00
96.72,2020 01 03 15:00:00
174.08,2020 01 03 16:00:00
264.79,2020 01 03 17:00:00
416.64,2020 01 03 18:00:00
460.94,2020 01 03 19:00:00
522.94,2020 01 03 20:00:00
473.76,2020 01 03 21:00:00
325.45,2020 01 03 22:00:00
151.44,2020 01 03 23:00:00
45.75,2020 01 04 00:00:00
23.88,2020 01 04 01:00:00
2.63,2020 01 04 02:00:00
2.49,2020 01 04 03:00:00
14.76,2020 01 04 04:00:00
80.04,2020 01 04 05:00:00
291.87,2020 01 04 06:00:00
392.55,2020 01 04 07:00:00
288.98,2020 01 04 08:00:00
248.12,2020 01 04 09:00:00
135.11,2020 01 04 10:00:00
134.47,2020 01 04 11:00:00
131.11,2020 01 04 12:00:00
