power [kw],Time
72.44,2020 01 01 00:00:00
67.27,2020 01 01 01:00:00
77.65,2020 01 01 02:00:00
66.06,2020 01 01 03:00:00
83.38,2020 01 01 04:00:00
85.68,2020 01 01 05:00:00
123.52,2020 01 01 06:00:00
103.02,2020 01 01 07:00:00
101.86,2020 01 01 08:00:00
70.97,2020 01 01 09:00:00
55.45,2020 01 01 10:00:00
45.91,2020 01 01 11:00:00
59.94,2020 01 01 12:00:00
50.17,2020 01 01 13:00:00
61.76,2020 01 01 14:00:00
47.75,2020 01 01 15:00:00
101.62,2020 01 01 16:00:00
126.52,2020 01 01 17:00:00
136.33,2020 01 01 18:00:00
111.81,2020 01 01 19:00:00
121.92,2020 01 01 20:00:00
97.27,2020 01 01 21:00:00
93.18,2020 01 01 22:00:00
68.76,2020 01 01 23:00:00
99.33,2020 01 02 00:00:00
89.2,2020 01 02 01:00:00
98.55,2020 01 02 02:00:00
88.52,2020 01 02 03:00:00
104.95,2020 01 02 04:00:00
129.93,2020 01 02 05:00:00
200.22,2020 01 02 06:00:00
214.9,2020 01 02 07:00:00
595.39,2020 01 02 08:00:00
574.23,2020 01 02 09:00:00
545.53,2020 01 02 10:00:00
544.99,2020 01 02 11:00:00
516.76,2020 01 02 12:00:00
544.77,2020 01 02 13:00:00
544.44,2020 01 02 14:00:00
544.41,2020 01 02 15:00:00
589.27,2020 01 02 16:00:00
515.07,2020 01 02 17:00:00
374.85,2020 01 02 18:00:00
361.05,2020 01 02 19:00:00
248.88,2020 01 02 20:00:00
235.09,2020 01 02 21:00:00
90.66,2020 01 02 22:00:00
56.81,2020 01 02 23:00:00
84.71,2020 01 03 00:00:00
121.32,2020 01 03 01:00:00
106.7,2020 01 03 02:00:00
119.72,2020 01 03 03:00:00
112.36,2020 01 03 04:00:00
160.03,2020 01 03 05:00:00
212.48,2020 01 03 06:00:00
257.56,2020 01 03 07:00:00
624.18,2020 01 03 08:00:00
603.69,2020 01 03 09:00:00
579.54,2020 01 03 10:00:00
583.51,2020 01 03 11:00:00
556.69,2020 01 03 12:00:00
585.58,2020 01 03 13:00:00
587.16,2020 01 03 14:00:00
585.71,2020 01 03 15:00:00
628.36,2020 01 03 16:00:00
554.05,2020 01 03 17:00:00
411.06,2020 01 03 18:00:00
394.33,2020 01 03 19:00:00
281.21,2020 01 03 20:00:00
267.06,2020 01 03 21:00:00
90.66,2020 01 03 22:00:00
56.33,2020 01 03 23:00:00
49.92,2020 01 04 00:00:00
61.37,2020 01 04 01:00:00
104.1,2020 01 04 02:00:00
121.2,2020 01 04 03:00:00
113.15,2020 01 04 04:00:00
161.45,2020 01 04 05:00:00
207.34,2020 01 04 06:00:00
212.13,2020 01 04 07:00:00
592.96,2020 01 04 08:00:00
572.14,2020 01 04 09:00:00
544.5,2020 01 04 10:00:00
544.37,2020 01 04 11:00:00
527.3,2020 01 04 12:00:00
582.82,2020 01 04 13:00:00
576.48,2020 01 04 14:00:00
576.39,2020 01 04 15:00:00
599.86,2020 01 04 16:00:00
514.98,2020 01 04 17:00:00
374.77,2020 01 04 18:00:00
361.13,2020 01 04 19:00:00
249.05,2020 01 04 20:00:00
235.42,2020 01 04 21:00:00
91.23,2020 01 04 22:00:00
