power [kw],Time
70.86,2020 01 01 00:00:00
57.15,2020 01 01 01:00:00
54.96,2020 01 01 02:00:00
53.76,2020 01 01 03:00:00
81.81,2020 01 01 04:00:00
139.15,2020 01 01 05:00:00
206.66,2020 01 01 06:00:00
186.9,2020 01 01 07:00:00
129.97,2020 01 01 08:00:00
91.04,2020 01 01 09:00:00
49.22,2020 01 01 10:00:00
47.07,2020 01 01 11:00:00
41.11,2020 01 01 12:00:00
32.51,2020 01 01 13:00:00
31.0,2020 01 01 14:00:00
51.09,2020 01 01 15:00:00
192.67,2020 01 01 16:00:00
330.38,2020 01 01 17:00:00
360.56,2020 01 01 18:00:00
350.03,2020 01 01 19:00:00
346.0,2020 01 01 20:00:00
277.86,2020 01 01 21:00:00
193.15,2020 01 01 22:00:00
126.46,2020 01 01 23:00:00
86.59,2020 01 02 00:00:00
83.83,2020 01 02 01:00:00
85.93,2020 01 02 02:00:00
87.7,2020 01 02 03:00:00
115.71,2020 01 02 04:00:00
177.28,2020 01 02 05:00:00
247.11,2020 01 02 06:00:00
229.74,2020 01 02 07:00:00
198.67,2020 01 02 08:00:00
154.4,2020 01 02 09:00:00
106.9,2020 01 02 10:00:00
99.56,2020 01 02 11:00:00
86.08,2020 01 02 12:00:00
78.58,2020 01 02 13:00:00
76.2,2020 01 02 14:00:00
95.19,2020 01 02 15:00:00
233.36,2020 01 02 16:00:00
337.29,2020 01 02 17:00:00
363.36,2020 01 02 18:00:00
351.02,2020 01 02 19:00:00
346.37,2020 01 02 20:00:00
276.0,2020 01 02 21:00:00
186.67,2020 01 02 22:00:00
112.06,2020 01 02 23:00:00
67.34,2020 01 03 00:00:00
60.53,2020 01 03 01:00:00
57.87,2020 01 03 02:00:00
57.53,2020 01 03 03:00:00
84.28,2020 01 03 04:00:00
141.84,2020 01 03 05:00:00
206.04,2020 01 03 06:00:00
186.01,2020 01 03 07:00:00
160.31,2020 01 03 08:00:00
122.28,2020 01 03 09:00:00
81.87,2020 01 03 10:00:00
82.79,2020 01 03 11:00:00
77.06,2020 01 03 12:00:00
74.58,2020 01 03 13:00:00
72.59,2020 01 03 14:00:00
90.49,2020 01 03 15:00:00
227.36,2020 01 03 16:00:00
329.71,2020 01 03 17:00:00
355.46,2020 01 03 18:00:00
343.64,2020 01 03 19:00:00
339.02,2020 01 03 20:00:00
270.43,2020 01 03 21:00:00
183.36,2020 01 03 22:00:00
110.18,2020 01 03 23:00:00
65.5,2020 01 04 00:00:00
60.19,2020 01 04 01:00:00
57.73,2020 01 04 02:00:00
57.76,2020 01 04 03:00:00
87.64,2020 01 04 04:00:00
149.52,2020 01 04 05:00:00
223.43,2020 01 04 06:00:00
209.71,2020 01 04 07:00:00
180.51,2020 01 04 08:00:00
141.19,2020 01 04 09:00:00
101.17,2020 01 04 10:00:00
98.14,2020 01 04 11:00:00
87.76,2020 01 04 12:00:00
84.28,2020 01 04 13:00:00
82.88,2020 01 04 14:00:00
102.84,2020 01 04 15:00:00
242.98,2020 01 04 16:00:00
349.09,2020 01 04 17:00:00
375.93,2020 01 04 18:00:00
367.14,2020 01 04 19:00:00
364.73,2020 01 04 20:00:00
298.7,2020 01 04 21:00:00
212.74,2020 01 04 22:00:00
141.77,2020 01 04 23:00:00
100.21,2020 01 05 00:00:00
95.25,2020 01 05 01:00:00
94.39,2020 01 05 02:00:00
94.71,2020 01 05 03:00:00
123.58,2020 01 05 04:00:00
182.84,2020 01 05 05:00:00
250.27,2020 01 05 06:00:00
232.82,2020 01 05 07:00:00
201.25,2020 01 05 08:00:00
160.29,2020 01 05 09:00:00
118.63,2020 01 05 10:00:00
114.46,2020 01 05 11:00:00
101.17,2020 01 05 12:00:00
94.53,2020 01 05 13:00:00
